n,sin,sn,delta
0,0,0,0
0.5,0.585097272940462,0.474492309677793,0.110604963262669
1,0.948984619355586,0.948984619355586,0
1.5,0.954085781609694,0.773728381729771,0.180357399879922
2,0.598472144103956,0.598472144103956,0
2.5,0.0165918922293479,0.0134554126808064,0.00313647954854155
3,-0.571561318742344,-0.571561318742344,0
3.5,-0.943622192300962,-0.765242796702741,-0.178379395598221
4,-0.958924274663138,-0.958924274663138,0
4.5,-0.611682249999232,-0.496051745605348,-0.115630504393884
5,-0.0331792165475568,-0.0331792165475568,0
5.5,0.55786800809094,0.452410380113591,0.105457627977349
6,0.937999976774739,0.937999976774739,0
6.5,0.963498766431188,0.781361965264466,0.182136801166722
7,0.624723953754192,0.624723953754192,0
7.5,0.0497574063010786,0.0403514214324113,0.00940598486866729
8,-0.54402111088937,-0.54402111088937,0
8.5,-0.932119520628153,-0.755914554200316,-0.176204966427838
9,-0.967807997511261,-0.967807997511261,0
9.5,-0.637593664859508,-0.517064947431231,-0.120528717428277
10,-0.0663218973512007,-0.0663218973512007,0
