n,sin,sn,delta
0,0,0,0
0.5,0.585097272940462,0.948984619355586,-0.363887346415124
1,0.948984619355586,0.948984619355586,0
1.5,0.954085781609694,0.598472144103956,0.355613637505737
2,0.598472144103956,0.598472144103956,0
2.5,0.0165918922293479,-0.571561318742344,0.588153210971692
3,-0.571561318742344,-0.571561318742344,0
3.5,-0.943622192300962,-0.958924274663138,0.015302082362176
4,-0.958924274663138,-0.958924274663138,0
4.5,-0.611682249999232,-0.0331792165475568,-0.578503033451675
5,-0.0331792165475568,-0.0331792165475568,0
5.5,0.55786800809094,0.937999976774739,-0.380131968683799
6,0.937999976774739,0.937999976774739,0
6.5,0.963498766431188,0.624723953754192,0.338774812676996
7,0.624723953754192,0.624723953754192,0
7.5,0.0497574063010786,-0.54402111088937,0.593778517190448
8,-0.54402111088937,-0.54402111088937,0
8.5,-0.932119520628153,-0.967807997511261,0.0356884768831081
9,-0.967807997511261,-0.967807997511261,0
9.5,-0.637593664859508,-0.0663218973512007,-0.571271767508307
10,-0.0663218973512007,-0.0663218973512007,0
