n,sin,sn,delta
0,0,0,0
0.5,0.585097272940462,0.674333955510192,-0.0892366825697302
1,0.948984619355586,0.948984619355586,0
1.5,0.954085781609694,0.841156684110182,0.112929097499511
2,0.598472144103956,0.598472144103956,0
2.5,0.0165918922293479,0.0187811655994921,-0.00218927337014415
3,-0.571561318742344,-0.571561318742344,0
3.5,-0.943622192300962,-0.837996852001838,-0.105625340299125
4,-0.958924274663138,-0.958924274663138,0
4.5,-0.611682249999232,-0.61454149790849,0.00285924790925829
5,-0.0331792165475568,-0.0331792165475568,0
5.5,0.55786800809094,0.570900132416734,-0.0130321243257934
6,0.937999976774739,0.937999976774739,0
6.5,0.963498766431188,0.843125561076979,0.12037320535421
7,0.624723953754192,0.624723953754192,0
7.5,0.0497574063010786,0.0563411843211828,-0.00658377802010423
8,-0.54402111088937,-0.54402111088937,0
8.5,-0.932119520628153,-0.8336679129016,-0.0984516077265534
9,-0.967807997511261,-0.967807997511261,0
9.5,-0.637593664859508,-0.712580271625111,0.0749866067656028
10,-0.0663218973512007,-0.0663218973512008,6.93889390390723e-17
