n,sin,sn,delta
0,0,0,0
0.5,0.585097272940462,0.645348118725345,-0.0602508457848832
1,0.948984619355586,0.948984619355586,0
1.5,0.954085781609694,0.927746846334023,0.0263389352756708
2,0.598472144103956,0.598472144103956,0
2.5,0.0165918922293479,0.0211575260419544,-0.00456563381260652
3,-0.571561318742344,-0.571561318742344,0
3.5,-0.943622192300962,-0.936250784500648,-0.00737140780031431
4,-0.958924274663138,-0.958924274663138,0
4.5,-0.611682249999232,-0.605638853135573,-0.00604339686365862
5,-0.0331792165475568,-0.0331792165475568,0
5.5,0.55786800809094,0.552313492066241,0.00555451602469925
6,0.937999976774739,0.937999976774739,0
6.5,0.963498766431188,0.95596953041014,0.00752923602104849
7,0.624723953754192,0.624723953754192,0
7.5,0.0497574063010786,0.0444896456342624,0.00526776066681623
8,-0.54402111088937,-0.54402111088937,0
8.5,-0.932119520628153,-0.905633442302889,-0.026486078325264
9,-0.967807997511261,-0.967807997511261,0
9.5,-0.637593664859508,-0.698664306024145,0.0610706411646375
10,-0.0663218973512007,-0.0663218973512006,-4.16333634234434e-17
