service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
9,0,0,0,0,0,0,0,20240404,20241214
10,1,1,1,1,1,1,1,20240404,20241214
19,0,0,0,0,0,0,0,20240404,20241214
22,0,0,0,0,0,1,0,20240404,20241214
23,0,0,0,0,0,0,0,20240404,20241214
28,0,0,0,0,0,0,0,20240404,20241214
29,0,0,0,0,0,0,0,20240404,20241214
30,0,0,0,0,0,0,0,20240404,20241214
42,1,1,1,1,0,0,0,20240404,20241214
43,0,0,0,0,0,1,0,20240404,20241214
45,0,0,0,0,0,0,1,20240404,20241214
51,0,0,0,0,0,0,0,20240404,20241214
54,0,0,0,0,0,0,0,20240404,20241214
55,0,0,0,0,0,0,0,20240404,20241214
56,1,1,1,1,1,0,0,20240404,20241214
57,0,0,0,0,0,0,0,20240404,20241214
58,0,0,0,0,0,0,0,20240404,20241214
59,0,0,0,0,0,0,0,20240404,20241214
60,0,0,0,0,0,0,0,20240404,20241214
61,0,0,0,0,0,0,0,20240404,20241214
62,0,0,0,0,0,0,0,20240404,20241214
63,0,0,0,0,0,0,0,20240404,20241214
64,0,0,0,0,0,0,0,20240404,20241214
65,0,0,0,0,0,0,0,20240404,20241214
66,0,0,0,0,0,0,0,20240404,20241214
67,0,0,0,0,0,0,0,20240404,20241214
68,0,0,0,0,0,0,0,20240404,20241214
69,0,0,0,0,0,0,0,20240404,20241214
70,0,0,0,0,0,0,0,20240404,20241214
71,1,1,1,1,1,0,0,20240404,20241214
72,0,0,0,0,0,1,0,20240404,20241214
73,0,0,0,0,0,1,1,20240404,20241214
74,0,0,0,0,0,1,0,20240404,20241214
75,0,0,0,0,0,0,1,20240404,20241214
76,0,0,0,0,0,0,1,20240404,20241214
77,0,0,0,0,0,0,0,20240404,20241214
78,1,1,1,1,1,0,0,20240404,20241214
79,1,1,1,1,1,0,0,20240404,20241214
80,0,0,0,0,1,0,0,20240404,20241214
81,1,1,1,1,0,0,0,20240404,20241214
82,1,1,1,1,1,0,0,20240404,20241214
83,0,0,0,0,0,0,0,20240404,20241214
84,0,0,0,0,0,0,0,20240404,20241214
85,0,0,0,0,0,0,0,20240404,20241214
86,0,0,0,0,0,0,0,20240404,20241214
87,0,0,0,0,0,0,0,20240404,20241214
88,0,0,0,0,0,0,0,20240404,20241214
89,1,1,1,1,1,0,0,20240404,20241214
90,0,0,0,0,0,1,0,20240404,20241214
91,0,0,0,0,0,0,0,20240404,20241214
92,0,0,0,0,0,0,1,20240404,20241214
93,0,0,0,0,0,0,0,20240404,20241214
94,0,0,0,0,0,1,0,20240404,20241214
95,0,0,0,0,0,1,1,20240404,20241214
96,0,0,0,0,0,0,0,20240404,20241214
97,0,0,0,0,0,1,0,20240404,20241214
98,0,0,0,0,0,0,0,20240404,20241214
99,0,0,0,0,1,0,0,20240404,20241214
100,1,1,1,1,0,0,0,20240404,20241214
101,1,1,1,1,1,0,0,20240404,20241214
102,0,0,0,0,0,0,0,20240404,20241214
103,1,1,1,1,0,0,0,20240404,20241214
104,0,0,0,0,0,0,0,20240404,20241214
105,0,0,0,0,0,0,0,20240404,20241214
106,0,0,0,0,0,0,0,20240404,20241214
107,0,0,0,0,0,0,0,20240404,20241214
108,0,0,0,0,0,0,0,20240404,20241214
109,0,0,0,0,0,0,0,20240404,20241214
110,0,0,0,0,0,0,0,20240404,20241214
111,0,0,0,0,0,0,0,20240404,20241214
112,0,0,0,0,0,0,0,20240404,20241214
113,0,0,0,0,0,0,0,20240404,20241214
114,0,0,0,0,0,0,0,20240404,20241214
115,0,0,0,0,0,0,0,20240404,20241214
116,0,0,0,0,0,0,0,20240404,20241214
117,0,0,0,0,0,0,0,20240404,20241214
118,0,0,0,0,0,0,0,20240404,20241214
119,0,0,0,0,0,0,0,20240404,20241214
120,0,0,0,0,0,0,0,20240404,20241214
121,0,0,0,0,0,0,0,20240404,20241214
122,0,0,0,0,0,0,0,20240404,20241214
123,0,0,0,0,0,0,0,20240404,20241214
124,0,0,0,0,0,0,0,20240404,20241214
125,0,0,0,0,0,0,0,20240404,20241214
126,0,0,0,0,0,0,0,20240404,20241214
127,0,0,0,0,0,0,0,20240404,20241214
128,0,0,0,0,0,0,0,20240404,20241214
129,1,1,1,1,0,0,0,20240404,20241214
130,1,1,1,1,0,0,0,20240404,20241214
131,1,1,1,1,0,0,0,20240404,20241214
132,0,0,0,0,0,0,0,20240404,20241214
133,0,0,0,0,0,0,0,20240404,20241214
134,0,0,0,0,0,0,0,20240404,20241214
135,0,0,0,0,0,0,0,20240404,20241214
136,1,0,0,0,0,0,0,20240404,20241214
137,0,0,0,0,0,0,0,20240404,20241214
138,1,1,1,1,0,0,0,20240404,20241214
139,1,1,1,1,0,0,0,20240404,20241214
