route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
25929_109,54,230419258,S Rahnsdorf (Berlin),32518,0,,1624,0,0
25929_109,54,230419257,S Rahnsdorf (Berlin),32520,0,,1624,0,0
25929_109,54,230419256,S Rahnsdorf (Berlin),32522,0,,1624,0,0
25929_109,54,230419255,S Rahnsdorf (Berlin),32524,0,,1624,0,0
25929_109,54,230419254,S Rahnsdorf (Berlin),32526,0,,1624,0,0
25929_109,54,230419253,S Rahnsdorf (Berlin),32528,0,,1624,0,0
25929_109,54,230419207,S Rahnsdorf (Berlin),32530,0,,1624,0,0
25929_109,54,230419251,S Rahnsdorf (Berlin),32532,0,,1624,0,0
25929_109,54,230419250,S Rahnsdorf (Berlin),32534,0,,1624,0,0
25929_109,54,230419206,S Rahnsdorf (Berlin),32536,0,,1624,0,0
25929_109,54,230419248,S Rahnsdorf (Berlin),32538,0,,1624,0,0
25929_109,54,230419247,S Rahnsdorf (Berlin),32540,0,,1624,0,0
25929_109,54,230419246,S Rahnsdorf (Berlin),32542,0,,1624,0,0
25929_109,54,230419245,S Rahnsdorf (Berlin),32544,0,,1624,0,0
25929_109,54,230419244,S Rahnsdorf (Berlin),32546,0,,1624,0,0
25929_109,54,230419243,S Rahnsdorf (Berlin),32548,0,,1624,0,0
25929_109,54,230419242,S Rahnsdorf (Berlin),32550,0,,1624,0,0
25929_109,54,230419241,S Rahnsdorf (Berlin),32552,0,,1624,0,0
25929_109,54,230419240,S Rahnsdorf (Berlin),32554,0,,1624,0,0
25929_109,54,230419239,S Rahnsdorf (Berlin),32556,0,,1624,0,0
25929_109,54,230419238,S Rahnsdorf (Berlin),32558,0,,1624,0,0
25929_109,54,230419237,S Rahnsdorf (Berlin),32560,0,,1624,0,0
25929_109,54,230419236,S Rahnsdorf (Berlin),32562,0,,1624,0,0
25929_109,54,230419235,S Rahnsdorf (Berlin),32564,0,,1624,0,0
25929_109,54,230419234,S Rahnsdorf (Berlin),32566,0,,1624,0,0
25929_109,54,230419233,S Rahnsdorf (Berlin),32568,0,,1624,0,0
25929_109,54,230419232,S Rahnsdorf (Berlin),32570,0,,1624,0,0
25929_109,54,230419231,S Rahnsdorf (Berlin),32572,0,,1624,0,0
25929_109,54,230419230,S Rahnsdorf (Berlin),32574,0,,1624,0,0
25929_109,54,230419229,S Rahnsdorf (Berlin),32576,0,,1624,0,0
25929_109,54,230419228,S Rahnsdorf (Berlin),32578,0,,1624,0,0
25929_109,54,230419227,S Rahnsdorf (Berlin),32580,0,,1624,0,0
25929_109,54,230419226,S Rahnsdorf (Berlin),32582,0,,1624,0,0
25929_109,54,230419225,S Rahnsdorf (Berlin),32584,0,,1624,0,0
25929_109,54,230419224,S Rahnsdorf (Berlin),32586,0,,1624,0,0
25929_109,54,230419223,S Rahnsdorf (Berlin),32588,0,,1624,0,0
25929_109,54,230419222,S Rahnsdorf (Berlin),32590,0,,1624,0,0
25929_109,54,230419221,S Rahnsdorf (Berlin),32592,0,,1624,0,0
25929_109,54,230419220,S Rahnsdorf (Berlin),32594,0,,1624,0,0
25929_109,54,230419219,S Rahnsdorf (Berlin),32596,0,,1624,0,0
25929_109,54,230419218,S Rahnsdorf (Berlin),32598,0,,1624,0,0
25929_109,54,230419217,S Rahnsdorf (Berlin),32600,0,,1624,0,0
25929_109,54,230419216,S Rahnsdorf (Berlin),32602,0,,1624,0,0
25929_109,54,230419215,S Rahnsdorf (Berlin),32604,0,,1624,0,0
25929_109,54,230419214,S Rahnsdorf (Berlin),32606,0,,1624,0,0
25929_109,54,230419213,S Rahnsdorf (Berlin),32608,0,,1624,0,0
25929_109,54,230419212,S Rahnsdorf (Berlin),32610,0,,1624,0,0
25929_109,54,230419211,S Rahnsdorf (Berlin),32612,0,,1624,0,0
25929_109,54,230419210,S Rahnsdorf (Berlin),32614,0,,1624,0,0
25929_109,54,230419209,S Rahnsdorf (Berlin),32616,0,,1624,0,0
25929_109,54,230419208,S Rahnsdorf (Berlin),32618,0,,1624,0,0
25929_109,55,230419265,S Rahnsdorf (Berlin),32620,0,,1624,0,0
25929_109,55,230419264,S Rahnsdorf (Berlin),32622,0,,1624,0,0
25929_109,55,230419263,S Rahnsdorf (Berlin),32624,0,,1624,0,0
25929_109,55,230419262,S Rahnsdorf (Berlin),32626,0,,1624,0,0
25929_109,55,230419261,S Rahnsdorf (Berlin),32628,0,,1624,0,0
25929_109,55,230419260,S Rahnsdorf (Berlin),32630,0,,1624,0,0
25929_109,55,230419259,S Rahnsdorf (Berlin),32632,0,,1624,0,0
25929_109,54,230419197,S Erkner Bhf,32517,1,,1625,0,0
25929_109,54,230419196,S Erkner Bhf,32519,1,,1625,0,0
25929_109,54,230419195,S Erkner Bhf,32521,1,,1625,0,0
25929_109,54,230419194,S Erkner Bhf,32523,1,,1625,0,0
25929_109,54,230419193,S Erkner Bhf,32525,1,,1625,0,0
25929_109,54,230419192,S Erkner Bhf,32527,1,,1625,0,0
25929_109,54,230419147,S Erkner Bhf,32529,1,,1625,0,0
25929_109,54,230419190,S Erkner Bhf,32531,1,,1625,0,0
25929_109,54,230419189,S Erkner Bhf,32533,1,,1625,0,0
25929_109,54,230419146,S Erkner Bhf,32535,1,,1625,0,0
25929_109,54,230419187,S Erkner Bhf,32537,1,,1625,0,0
25929_109,54,230419186,S Erkner Bhf,32539,1,,1625,0,0
25929_109,54,230419185,S Erkner Bhf,32541,1,,1625,0,0
25929_109,54,230419184,S Erkner Bhf,32543,1,,1625,0,0
25929_109,54,230419183,S Erkner Bhf,32545,1,,1625,0,0
25929_109,54,230419182,S Erkner Bhf,32547,1,,1625,0,0
25929_109,54,230419181,S Erkner Bhf,32549,1,,1625,0,0
25929_109,54,230419180,S Erkner Bhf,32551,1,,1625,0,0
25929_109,54,230419179,S Erkner Bhf,32553,1,,1625,0,0
25929_109,54,230419178,S Erkner Bhf,32555,1,,1625,0,0
25929_109,54,230419177,S Erkner Bhf,32557,1,,1625,0,0
25929_109,54,230419176,S Erkner Bhf,32559,1,,1625,0,0
25929_109,54,230419175,S Erkner Bhf,32561,1,,1625,0,0
25929_109,54,230419174,S Erkner Bhf,32563,1,,1625,0,0
25929_109,54,230419173,S Erkner Bhf,32565,1,,1625,0,0
25929_109,54,230419172,S Erkner Bhf,32567,1,,1625,0,0
25929_109,54,230419171,S Erkner Bhf,32569,1,,1625,0,0
25929_109,54,230419170,S Erkner Bhf,32571,1,,1625,0,0
25929_109,54,230419169,S Erkner Bhf,32573,1,,1625,0,0
25929_109,54,230419168,S Erkner Bhf,32575,1,,1625,0,0
25929_109,54,230419167,S Erkner Bhf,32577,1,,1625,0,0
25929_109,54,230419166,S Erkner Bhf,32579,1,,1625,0,0
25929_109,54,230419165,S Erkner Bhf,32581,1,,1625,0,0
25929_109,54,230419164,S Erkner Bhf,32583,1,,1625,0,0
25929_109,54,230419163,S Erkner Bhf,32585,1,,1625,0,0
25929_109,54,230419162,S Erkner Bhf,32587,1,,1625,0,0
25929_109,54,230419161,S Erkner Bhf,32589,1,,1625,0,0
25929_109,54,230419160,S Erkner Bhf,32591,1,,1625,0,0
25929_109,54,230419159,S Erkner Bhf,32593,1,,1625,0,0
25929_109,54,230419158,S Erkner Bhf,32595,1,,1625,0,0
25929_109,54,230419157,S Erkner Bhf,32597,1,,1625,0,0
25929_109,54,230419156,S Erkner Bhf,32599,1,,1625,0,0
25929_109,54,230419155,S Erkner Bhf,32601,1,,1625,0,0
25929_109,54,230419154,S Erkner Bhf,32603,1,,1625,0,0
25929_109,54,230419153,S Erkner Bhf,32605,1,,1625,0,0
25929_109,54,230419152,S Erkner Bhf,32607,1,,1625,0,0
